Usuario;Contraseña;Nombre;Apellidos;ID;Rutina 1;Repeticiones 
Lucas;0;Lucas;García;P1235;Pecho;10
Sofía;P35ñ08;Sofía;Sánchez;P1236;Bíceps;15
Martín;P35ñ09;Martín;Gutierrez;P1237;Tríceps;13
Ana;0;Ana;Gutierrez;P1238;Piernas;10
Pedro;P35ñ11;Pedro;Torres;P1239;Pecho;15
Valentina;P35ñ12;Valentina;Vargas;P1240;Bíceps;13
Diego;P35ñ13;Diego;García;P1241;Tríceps;10
Camila;P35ñ14;Camila;Ramírez;P1242;Piernas;15
Javier;P35ñ15;Javier;González;P1243;Pecho;13
María;P35ñ16;María;García;P1244;Bíceps;10
Ricardo;P35ñ17;Ricardo;Mendoza;P1245;Tríceps;15
Natalia;P35ñ18;Natalia;Martínez;P1246;Piernas;13
Jorge;P35ñ19;Jorge;Ortiz;P1247;Pecho;10
Daniela;P35ñ20;Daniela;Jiménez;P1248;Bíceps;15
Andrés;P35ñ21;Andrés;Sánchez;P1249;Tríceps;13
Laura;P35ñ22;Laura;Rivera;P1250;Piernas;10
Cristian;P35ñ23;Cristian;Hernández;P1251;Pecho;15
Isabel;P35ñ24;Isabel;García;P1252;Bíceps;13
Tomás;P35ñ25;Tomás;Ramírez;P1253;Tríceps;10
Gabriela;P35ñ26;Gabriela;Vargas;P1254;Piernas;15
Federico;P35ñ27;Federico;García;P1255;Pecho;13
Lucía;P35ñ28;Lucía;Flores;P1256;Bíceps;10
Fernando;P35ñ29;Fernando;Torres;P1257;Tríceps;15
Paula;P35ñ30;Paula;Vargas;P1258;Piernas;13
Sebastián;P35ñ31;Sebastián;Gutierrez;P1259;Pecho;10
Clara;P35ñ32;Clara;Flores;P1260;Bíceps;15
Agustín;P35ñ33;Agustín;Pérez;P1261;Tríceps;13
Carolina;P35ñ34;Carolina;Ramírez;P1262;Piernas;10
Héctor;P35ñ35;Héctor;Pérez;P1263;Pecho;15
Alicia;P35ñ36;Alicia;Castro;P1264;Bíceps;13
Santiago;P35ñ37;Santiago;Vargas;P1265;Tríceps;10
Elena;P35ñ38;Elena;García;P1266;Piernas;15
Rodrigo;P35ñ39;Rodrigo;Vargas;P1267;Pecho;13
Luz;P35ñ40;Luz;Castro;P1268;Bíceps;10
Manuel;P35ñ41;Manuel;López;P1269;Tríceps;15
Carla;P35ñ42;Carla;Morales;P1270;Piernas;13
Alejandro;P35ñ43;Alejandro;Sánchez;P1271;Pecho;10
Mónica;P35ñ44;Mónica;Castro;P1272;Bíceps;15
Luis;P35ñ45;Luis;Sánchez;P1273;Tríceps;13
Verónica;P35ñ46;Verónica;Ramírez;P1274;Piernas;10
Emilio;P35ñ47;Emilio;López;P1275;Pecho;15
Patricia;P35ñ48;Patricia;Gutierrez;P1276;Bíceps;13
Hugo;P35ñ49;Hugo;Martínez;P1277;Tríceps;10
Sara;P35ñ50;Sara;Gutierrez;P1278;Piernas;15
Gonzalo;P35ñ51;Gonzalo;Ortiz;P1279;Pecho;13
Mariana;P35ñ52;Mariana;Mendoza;P1280;Bíceps;10
Pablo;P35ñ53;Pablo;González;P1281;Tríceps;15
